cost_per_impression,start_date,end_date,total_budget,start_month,end_month,campaign_phase,days,region,locality,num_events,category,shop,tracking,ticket_capacity,average_ticket_price,facebook,instagram,google_search,google_display,twitter,facebook_likes,facebook_interest,instagram_interest,google_search_volume,twitter_interest
0.0026,171026.00,171113.00,500.00,10.00,11.00,1.00,18.00,germany,single,,tradefair,stagelink,pv,,,1.00,0.00,1.00,0.00,0.00,,,,,
0.0031,171026.00,171113.00,250.00,10.00,11.00,1.00,18.00,germany,single,,tradefair,stagelink,pv,,,1.00,0.00,1.00,0.00,0.00,,,,,
0.0016,171026.00,171113.00,250.00,10.00,11.00,1.00,18.00,germany,single,,tradefair,stagelink,pv,,,1.00,0.00,1.00,0.00,0.00,,,,,
0.0062,171103.00,171116.00,330.00,11.00,11.00,1.00,13.00,germany,multiple,,comedy,actnews,no,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.0057,171110.00,171129.00,500.00,11.00,11.00,1.00,19.00,germany,single,,music,eventim,no,,,1.00,0.00,0.00,0.00,0.00,18000.00,81000.00,110000.00,4000.00,
0.0035,180813.00,181001.00,500.00,8.00,10.00,1.00,49.00,germany,single,,music,eventim,no,1000.00,35.00,1.00,1.00,1.00,0.00,0.00,10000.00,,,,
0.0041,180815.00,180915.00,500.00,8.00,9.00,1.00,31.00,germany,single,,music,custom,no,1700.00,21.00,1.00,1.00,0.00,0.00,0.00,7000.00,140000.00,230000.00,50000.00,150000.00
0.0052,180901.00,180930.00,1500.00,9.00,9.00,1.00,29.00,switzerland,single,,musical,showare,pv,12000.00,65.00,1.00,1.00,1.00,0.00,0.00,4500.00,,,,
0.0050,180901.00,181020.00,1242.00,9.00,10.00,1.00,49.00,switzerland,single,,magic,showare,pu,16800.00,80.00,1.00,1.00,1.00,0.00,0.00,7000.00,,,,
0.0041,180902.00,180913.00,656.75,9.00,9.00,1.00,11.00,germany,single,,music,eventim,no,16000.00,50.00,1.00,1.00,1.00,0.00,0.00,7000.00,430000.00,650000.00,34000.00,330000.00
0.0053,180901.00,180929.00,463.00,9.00,9.00,1.00,28.00,germany,single,,music,starticket,no,6000.00,70.00,1.00,1.00,1.00,0.00,0.00,29000.00,210000.00,110000.00,11000.00,90000.00
0.0048,180908.00,181105.00,5000.00,9.00,11.00,1.00,58.00,germany,multiple,,music,wlec,pv,17500.00,25.00,1.00,1.00,1.00,0.00,0.00,5500.00,,,,
0.0042,180908.00,180925.00,500.00,9.00,9.00,1.00,17.00,germany,single,,music,eventim,no,5000.00,50.00,1.00,1.00,1.00,0.00,0.00,31000.00,760000.00,810000.00,35000.00,230000.00
0.0043,180914.00,180921.00,397.00,9.00,9.00,1.00,7.00,switzerland,single,,conference,showare,pu,4000.00,25.00,1.00,1.00,1.00,0.00,0.00,200.00,,,,
0.0043,180907.00,180924.00,103.17,9.00,9.00,1.00,17.00,germany,single,,comedy,eventim,no,4.00,17.00,1.00,1.00,1.00,0.00,0.00,2400.00,140000.00,90000.00,10000.00,
0.0029,181110.00,181116.00,146.83,11.00,11.00,2.00,6.00,germany,single,,comedy,eventim,pv,4.00,17.00,1.00,1.00,1.00,0.00,0.00,2400.00,140000.00,90000.00,10000.00,
0.0022,180922.00,181007.00,1782.43,9.00,10.00,1.00,15.00,germany,multiple,,movie,stagelink,pv,30000.00,6.00,1.00,1.00,1.00,0.00,0.00,2900.00,3500000.00,2700000.00,250000.00,1200000.00
0.0028,180914.00,181016.00,1011.00,9.00,10.00,1.00,32.00,germany,multiple,,comedy,eventim,no,15000.00,31.00,1.00,1.00,0.00,0.00,0.00,809000.00,1800000.00,1100000.00,42000.00,940000.00
0.0092,181001.00,181022.00,690.00,10.00,10.00,1.00,21.00,switzerland,single,,comedy,showare,pu,3600.00,60.00,1.00,1.00,1.00,0.00,0.00,4500.00,,,,
0.0073,180928.00,181124.00,28000.00,9.00,11.00,1.00,57.00,germany,multiple,,other,facebook_events,pv,30000.00,0.00,1.00,1.00,0.00,0.00,0.00,280000.00,600000.00,900000.00,50000.00,230000.00
