cost_per_click,start_date,end_date,total_budget,start_month,end_month,campaign_phase,days,region,locality,num_events,category,shop,tracking,ticket_capacity,average_ticket_price,facebook,instagram,google_search,google_display,twitter,facebook_likes,facebook_interest,instagram_interest,google_search_volume,twitter_interest
0.0908,171006.00,171026.00,921.50,10.00,10.00,3.00,20.00,switzerland,multiple,,comedy,stagelink,pv,2000.00,30.00,1.00,1.00,1.00,0.00,0.00,47000.00,,,,
0.1760,170830.00,170926.00,300.00,8.00,9.00,1.00,27.00,germany,multiple,,comedy,stagelink,pv,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.1675,171020.00,171026.00,1000.00,10.00,10.00,2.00,6.00,germany,multiple,,comedy,stagelink,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.3057,170831.00,170924.00,101.50,8.00,9.00,1.00,24.00,germany,single,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.1367,170907.00,170922.00,1000.00,9.00,9.00,1.00,15.00,germany,multiple,,music,custom,no,8000.00,50.00,1.00,1.00,1.00,0.00,0.00,1700000.00,,,,
0.2416,170911.00,171001.00,606.00,9.00,10.00,1.00,20.00,switzerland,single,,comedy,ticketcorner,no,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.2952,170918.00,171001.00,167.50,9.00,10.00,1.00,13.00,switzerland,single,,music,ticketcorner,no,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.3574,170918.00,171001.00,54.00,9.00,10.00,1.00,13.00,switzerland,single,,comedy,ticketcorner,no,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.3031,170921.00,171008.00,50.00,9.00,10.00,1.00,17.00,germany,multiple,,comedy,eventim,no,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.3972,171103.00,171113.00,350.00,11.00,11.00,2.00,10.00,germany,multiple,,comedy,eventim,no,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.4177,170920.00,171002.00,35.50,9.00,10.00,1.00,12.00,austria,single,,music,custom,no,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.2383,170929.00,171020.00,1000.00,9.00,10.00,1.00,21.00,germany,single,,fashion,eventbrite,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.1805,171027.00,171118.00,1000.00,10.00,11.00,2.00,22.00,germany,single,,fashion,eventbrite,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.2605,171113.00,171125.00,5500.00,11.00,11.00,1.00,12.00,germany,single,,tradefair,stagelink,pv,100000.00,12.00,1.00,0.00,1.00,0.00,0.00,13600.00,500000.00,300000.00,500.00,
0.1354,181001.00,181119.00,1500.00,10.00,11.00,2.00,49.00,switzerland,single,,musical,showare,pv,12000.00,65.00,1.00,1.00,1.00,0.00,0.00,4500.00,,,,
0.2301,181021.00,181223.00,1258.00,10.00,12.00,2.00,63.00,switzerland,single,,magic,showare,pu,16800.00,80.00,1.00,1.00,1.00,0.00,0.00,7000.00,,,,
0.1116,180914.00,181008.00,1343.25,9.00,10.00,2.00,24.00,germany,single,,music,eventim,no,16000.00,50.00,1.00,1.00,1.00,0.00,0.00,7000.00,430000.00,650000.00,34000.00,330000.00
