impressions,budget,start_month,end_month,start_week,end_week,days,region,category,facebook,instagram,google_search,google_display
73219,400,11,12,45,52,49,switzerland,theatre,1,0,0,0
75971,400,9,9,36,38,15,germany,concert,1,0,1,0
79419,600,9,11,35,47,81,germany,concert,1,1,1,0
81357,400,9,1,39,4,119,germany,concert,1,0,0,0
82290,600,4,9,17,37,140,switzerland,theatre,1,1,0,0
85801,500,12,2,49,6,64,germany,comedy,1,1,1,0
86046,500,12,1,49,2,37,germany,sports,1,1,1,0
88304,400,12,2,49,6,65,usa,conference,1,0,1,1
90891,700,10,12,43,48,39,switzerland,concert,1,1,1,0
93184,400,1,3,4,9,40,switzerland,concert,1,1,0,0
93303,400,11,1,46,5,78,austria,concert,1,1,0,0
93564,600,4,6,17,23,44,germany,comedy,1,1,1,0
94116,400,9,11,38,46,53,germany,comedy,1,0,1,0
95373,700,6,7,26,28,13,germany,festival,1,1,1,0
95733,600,6,6,23,25,19,switzerland,theatre,1,1,0,0
96937,400,10,11,43,47,29,germany,concert,1,1,1,0
98220,600,10,12,43,48,39,germany,concert,1,1,1,0
99619,500,11,2,48,6,75,switzerland,other,1,1,0,0
99736,500,11,2,48,6,75,switzerland,other,1,1,0,0
100000,500,6,9,26,39,89,germany,concert,1,1,1,0
100036,500,12,2,48,5,62,switzerland,concert,1,1,0,0
100041,300,10,12,41,49,58,austria,concert,1,1,1,0
100091,800,4,5,18,18,6,germany,other,1,0,0,0
100644,400,11,12,45,50,31,germany,concert,1,1,1,0
100692,400,1,3,3,9,42,germany,concert,1,1,1,0
100784,800,4,5,18,18,6,germany,other,1,0,0,0
100851,500,10,12,43,48,39,germany,concert,1,0,0,0
100851,600,4,4,16,17,7,germany,concert,1,1,0,0
101000,400,10,11,43,46,18,germany,conference,1,0,1,0
101265,700,4,5,18,18,6,germany,other,1,0,0,0
101775,500,9,9,36,39,17,germany,concert,1,1,1,0
104202,400,5,5,19,21,16,germany,festival,1,1,1,0
105117,500,8,10,35,43,57,germany,comedy,1,1,1,0
105676,500,4,6,15,23,62,germany,festival,1,1,1,0
105874,600,3,4,10,15,37,germany,theatre,1,0,1,0
106223,600,10,12,43,48,39,austria,concert,1,1,1,0
106266,500,10,10,41,43,16,germany,conference,1,1,1,0
106505,600,10,12,43,48,39,germany,concert,1,1,1,0
111696,600,11,11,44,47,17,germany,conference,1,1,1,0
113333,400,10,11,40,44,31,germany,conference,1,1,1,0
113773,500,12,2,49,5,60,germany,festival,1,1,1,0
116000,500,11,12,47,52,37,switzerland,festival,1,0,0,0
118336,300,4,4,17,18,7,germany,comedy,1,0,0,0
118698,700,11,11,44,47,17,germany,conference,1,1,1,0
118730,400,3,8,13,31,128,germany,festival,1,0,1,0
120396,800,6,6,23,24,13,germany,conference,1,1,1,0
121828,600,11,12,44,48,31,germany,conference,1,0,0,0
122547,800,4,4,13,15,14,germany,concert,1,1,0,0
124656,700,3,4,12,15,21,germany,other,1,1,1,0
125100,500,2,4,9,16,48,germany,theatre,1,1,1,0
125116,1100,4,5,18,18,6,germany,other,1,0,0,0
125313,1000,4,5,18,18,6,germany,other,1,0,0,0
126502,300,5,6,19,23,27,germany,concert,1,1,1,0
127539,500,3,7,13,31,124,germany,concert,1,1,1,0
128869,600,5,6,19,24,34,switzerland,concert,1,0,1,0
129585,700,11,12,45,49,29,germany,festival,1,1,1,0
129721,600,11,12,45,51,44,germany,concert,1,1,1,0
130147,700,11,12,48,52,27,switzerland,concert,1,0,0,0
131491,700,3,4,11,15,32,germany,concert,1,1,1,0
132105,500,9,10,38,43,37,switzerland,comedy,1,1,1,0
132517,900,1,2,4,6,14,switzerland,concert,1,1,1,0
133867,600,9,10,35,41,36,germany,concert,1,1,1,0
133900,1000,1,3,4,12,57,switzerland,theatre,1,1,1,0
135680,900,11,11,44,47,17,germany,conference,1,1,1,0
135871,800,12,12,49,51,17,germany,concert,1,1,1,0
138503,800,11,12,46,50,30,switzerland,concert,1,0,0,0
139966,1200,4,8,16,33,123,germany,festival,1,1,1,0
140231,900,11,11,44,47,17,germany,conference,1,1,1,0
140364,800,10,12,43,52,59,switzerland,comedy,1,0,0,0
142716,700,2,3,6,13,49,germany,concert,1,1,1,0
150017,1000,4,5,16,21,36,switzerland,theatre,1,1,0,0
150228,1100,4,5,18,18,6,germany,other,1,0,0,0
150826,700,10,10,41,44,19,germany,concert,1,1,1,0
150847,1600,10,11,40,46,45,switzerland,comedy,1,1,1,0
151973,1000,4,9,17,39,154,switzerland,theatre,1,1,0,0
156314,700,4,4,15,18,21,germany,concert,1,1,1,1
157954,500,4,4,16,18,14,switzerland,theatre,1,1,1,0
165000,500,7,8,27,32,32,world,concert,1,1,1,0
167362,600,11,1,48,1,35,germany,comedy,1,0,1,0
